Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Notes,,
SENTUHAN MERANGSANG,2002-04-04,2002,P.U. (A) 127,Printed Documents,MADONNA,KANTAMAS-KUALA LUMPUR,Local,"SINAR ENTERPRISE SHAH ALAM, SELANGOR D.E","[""Malay""]",Obscene / immoral publications,Pornography,,,
GELORA,2002-04-04,2002,P.U. (A) 127,Printed Documents,n/a,SERI KENCANA SDN BHD,Local,n/a,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
BATAS AKHIR GAIRAH,2002-04-04,2002,P.U. (A) 127,Printed Documents,MARINA S.,KANTAMAS-KUALA LUMPUR,Local,n/a,"[""Malay""]",Obscene / immoral publications,Pornography,,,
ARTIS-ARTIS BERNODA,2002-04-04,2002,P.U. (A) 127,Printed Documents,n/a,n/a,Unclear,n/a,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
BERSATU MEREGUK KENIKMATAN,2002-04-04,2002,P.U. (A) 127,Printed Documents,RATNA JUWITA,KANTAMAS-KUALA LUMPUR,Local,"SINAR ENTERPRISE SHAH ALAM, SELANGOR DARUL EHSAN","[""Malay""]",Obscene / immoral publications,Pornography,,,
CINTA 100 ELA,2002-04-04,2002,P.U. (A) 127,Printed Documents,RAJA AZMI,TALENT PRESTIGE SDN.BHD.,Local,ISTIRAMAI ENTERPRISE SDN.BHD,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
By Hook Or By Crook,2002-09-12,2002,P.U. (A) 383,Printed Documents,Xu Yong Qiang,Syarikat Penerbitan Kuang Ye,Local,Percetakan UPCAS Sdn. Bhd,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Kebenaran Al-Quran,2002-09-12,2002,P.U. (A) 384,Printed Documents,Ibrahim Batcha,n/a,Unclear,n/a,"[""Tamil""]",General/Unindentified,Administrative/Unclear Ground,,,
Metode Penelaahan Alkitab,2003-03-27,2003,P.U. (A) 83,Printed Documents,Dick & Tinem Maitimoe,"Persekutuan Pembaca Alkitab,",Local,Persekutuan Pembaca Alkitab,"[""Malay""]",Religious doctrinal deviance,Other,,,
Seri Pemahaman Doktrin: Kebenaran,2003-03-27,2003,P.U. (A) 83,Printed Documents,William L.Lane Th.D,Persekutuan Pembaca Alkitab,Local,Persekutuan Pembaca Alkitab,"[""Malay""]",Religious doctrinal deviance,Other,,,
SEJARAH KERAJAAN ALLAH JILID 1/2 PERJANJIAN LAMA,2003-03-27,2003,P.U. (A) 83,Printed Documents,DR.F.L.BAKKER,P.D.NILAKANDI,Foreign,P.D.NILAKANDI,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
SEJARAH SINGKAT LITURGI BARAT,2003-03-27,2003,P.U. (A) 83,Printed Documents,THEODOR KLAUSER,PENERBIT KANISIUS,Local,PENERBIT KANISIUS,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
Seri Pemahaman Doktrin Alkitabiah : Manusia Baru,2003-03-27,2003,P.U. (A) 83,Printed Documents,"JL Packer MA,/ D.Phill",Persekutuan Pembaca Alkitab,Local,Persekutuan Pembaca Alkitab,"[""Malay""]",Religious doctrinal deviance,Other,,,
SURAT-SURAT PAULUS 2,2003-03-27,2003,P.U. (A) 83,Printed Documents,LEMBAGA BIBLIKA INDONESIA,PENERBITAN KANISIUS,Local,-SAMA-,"[""Malay""]",Religious doctrinal deviance,Other,,,
TAFSIRAN ALKITAB WAHYU YOHANES 1,2003-03-27,2003,P.U. (A) 83,Printed Documents,DRS.J.J. DI HEER,PERCETAKAN BPK BUNUNG MULIA,Local,-SAMA-,"[""Malay""]",Religious doctrinal deviance,Other,,,
BELAJAR BERJALAN DENGAN ALLAH,2003-03-27,2003,P.U. (A) 83,Printed Documents,CHARLIE RIGGS,PERSEKUTUAN PEMBACA ALKITAB,Local,-SAMA-,"[""Malay""]",Religious doctrinal deviance,Other,,,
ALKITAB:BUKU UNTUK MASA KINI,2003-03-27,2003,P.U. (A) 83,Printed Documents,JOHN R.W.STOTT,PPA JALAN CEMPAKA PUTIH TENGAH,Foreign,-SAMA-,"[""Malay""]",Religious doctrinal deviance,Other,,,
MEMAHAMI ISI ALKITAB,2003-03-27,2003,P.U. (A) 83,Printed Documents,JOHN R.W.STOTT,PPA JALAN CEMPAKA PUTIH TENGAH,Foreign,-SAMA-,"[""Malay""]",Religious doctrinal deviance,Other,,,
BEKAL HIDUP,2003-03-27,2003,P.U. (A) 83,Printed Documents,n/a,CV HAJI MASAGUNG,Foreign,-SAMA-,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
DOA SANTAP,2003-03-27,2003,P.U. (A) 83,Printed Documents,SR.BERNADETTE PMY,PENERBITAN KANISIUS,Local,-SAMA-,"[""Malay""]",Religious doctrinal deviance,Other,,,
Seri Pemahaman Doktrin Al-Kitab: Dunia Kepunyaan Allah,2003-03-27,2003,P.U. (A) 83,Printed Documents,"Arthur E.Cundall BA, BD",PERSEKUTUAN PEMBACA ALKITAB,Local,PERSEKUTUAN PEMBACA ALKITAB,"[""Malay""]",Religious doctrinal deviance,Other,,,
HUKUM MENGENAI ROKOK & MENCUKUR JANGGUT,2003-03-27,2003,P.U. (A) 84,Printed Documents,RASUL DAHRI,PERNIAGAAN JAHABERSA,Local,PERCETAKAN NASIONAL MALAYSIA BERHAD CAW.JB,"[""Malay""]",Religious doctrinal deviance,Other,,,
HAKIKAT SEMBAHYANG,2003-03-27,2003,P.U. (A) 84,Printed Documents,IMAM AL SOOUTI,PERNIAGAAN JAHABERSA,Local,PERCETAKAN ZAFAR SDN.BHD,"[""Malay""]",Religious doctrinal deviance,Other,,,
MALAYSIA DAULAH PEMUDA BANI TAMIM,2003-03-27,2003,P.U. (A) 84,Printed Documents,DR.AHMAD FAUZI ABD.HAMID,ABUKU HEBAT SDN BHD,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Syiah,,,
SIRRUL ASRAR,2003-03-27,2003,P.U. (A) 84,Printed Documents,AS-SYEIKH ABDUL QADIR JAILANI,THINKER'S LIBRARY SDN BHD.,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
ILMU TAPAK TANGAN,2003-03-27,2003,P.U. (A) 84,Printed Documents,SABRI AL-KAFAWI,PUSTAKA MUDA,Local,PERCETAKAN PUSATAKA MUDA,"[""Malay""]",Religious doctrinal deviance,Other,,,
SORGA FIRDAUS 2,2003-03-27,2003,P.U. (A) 84,Printed Documents,n/a,M.A.JAYA,Foreign,n/a,"[""Malay""]",Obscene / immoral publications,Pornography,,,
SYURGA DI BAWAH TAPAK KAKI IBU DENGAN IMAN DAN TAKWA,2003-03-27,2003,P.U. (A) 84,Printed Documents,n/a,M.A.JAYA,Foreign,n/a,"[""Malay""]",Obscene / immoral publications,Pornography,,,
BANGKIT DARI KUBUR,2003-03-27,2003,P.U. (A) 84,Printed Documents,USTAZ MUSANNIF EFFENDIE ALWI.S,M.A.JAYA,Foreign,n/a,"[""Malay""]",Obscene / immoral publications,Pornography,,,
ANTARA SYORGA DAN NERAKA,2003-03-27,2003,P.U. (A) 84,Printed Documents,ZAERY,M.A.JAYA,Foreign,n/a,"[""Malay""]",Obscene / immoral publications,Pornography,,,
BERDASARKAN AL-HADITS' DENGAN RIWAYAT:RISALAH DURHAKA,2003-03-27,2003,P.U. (A) 84,Printed Documents,n/a,M.A.JAYA,Foreign,n/a,"[""Malay""]",Obscene / immoral publications,Pornography,,,
HIKMAT DAN KEAIJABAN AYAT KURSI DAN SURAH YAASIN SERTA DOA BURUNG CENDERAWASIH,2003-03-27,2003,P.U. (A) 84,Printed Documents,WALID MUHAMMAD,JASMIN ENTERPRISE BERINOVATIF DAN BERKREATIF,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
USUL KEROHANIAN ISLAM (1),2003-03-27,2003,P.U. (A) 84,Printed Documents,ARIFFIN BIN NGAH (ABN)NASUTION,PUSTAKA HATNAS,Local,PROSPECTRA PRINTERS,"[""Malay""]",Religious doctrinal deviance,Other,,,
AMALAN MURAH REZEKI,2003-03-27,2003,P.U. (A) 84,Printed Documents,M.ALI HASSAN UMAR,DARUL NU'MAN,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
TOKOH-TOKOH TERKEMUKA AHLUL BAIT NABI RASULULLAH SAW FATIMAH AZ-ZAHRA JILID 1-2,2003-03-27,2003,P.U. (A) 84,Printed Documents,ALI MUHAMMAD ALI,PUSTAKA JIWA SDN BHD,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
TOKOH-TOKOH TERKEMUKA AHLUL BAIT NABI IMAM ALI BIN ABI THALIB A.S IMAM HASAN BIN ALI A.S JILID 3-4,2003-03-27,2003,P.U. (A) 84,Printed Documents,ALI MUHAMMAD ALI,PUSTAKA JIWA SDN BHD,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
TOKOH-TOKOH TERKEMUKA AHLUL BAIT NABI IMAM HUSAIN BIN ALI A.S IMAM ALI ZAINAL ABIDIN JILID 5-6,2003-03-27,2003,P.U. (A) 84,Printed Documents,ALI MUHAMMAD ALI,n/a,Unclear,n/a,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
TOKOH-TOKOH TERKEMUKA AHLUL BAIT NABI IMAM MUHAMMAD AL-BAQIR A.S IMAM JAFAR ASH SHADIQ A.S JILID 7-8,2003-03-27,2003,P.U. (A) 84,Printed Documents,ALI MUHAMMAD ALI,PUSTAKA JIWA SDN. BHD,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
TOKOH-TOKOH TERKEMUKA AHLUL BAIT NABI IMAM MUSA AL-KADZIM A.S IMAM ALI AR RIDHA,2003-03-27,2003,P.U. (A) 84,Printed Documents,AL MUHAMMAD ALI,PUSTAKA JIWA SDN BHD,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
TOKOH-TOKOH TERKEMUKA AHLUL BAIT NABI IMAM MUHAMMAD AL-JAWAD A.S IMAM ALI AL-HADI A.S JILID 11-12,2003-03-27,2003,P.U. (A) 84,Printed Documents,ALI MUHAMMAD ALI,PUSTAKA JIWA SDN BHD,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
TOKOH-TOKOH TERKEMUKA AHLUL BAIT NABI IMAM HASAN AL-ASKARI A.S IMAM MUHAMMAD AL-MAHDI A.S JILID 13-1,2003-03-27,2003,P.U. (A) 84,Printed Documents,ALI MUHAMMAD ALI,PUSTAKA JIWA SDN BHD,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
MENGENAL TULISAN PERJANJIAN BARU,2003-09-12,2003,P.U. (A) 83,Printed Documents,I.SUHARYO PR.,PENERBITAN KANISIUS,Local,PENERBIT KANISIUS,"[""Malay""]",Religious doctrinal deviance,Other,,,
THE ROUGH GUIDE HISTORY OF ISLAM,2003-10-30,2003,P.U. (A) 412,Printed Documents,JUSTIN WINTLE,ROUGHT GUIDES LTD,Unclear,"GRAPHY CEMS, SPAIN","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
KUDUMBA SEKS KATHAIGAL (Kisah-kisah Seks Keluarga),2004-08-26,2004,P.U. (A) 298,Printed Documents,PRIYA,VARMA PATHIPPAGAM,Foreign,JIVOTHAYAM,"[""Tamil""]",Obscene / immoral publications,Erotic/immoral content,,,
ORU KANNIYIN KARPANAI (MIMPI SEORANG GADIS) (BHS TAMIL),2004-08-26,2004,P.U. (A) 298,Printed Documents,PRIYA,VARMA PATHIPPAGAM,Foreign,"JIVOTHAYAM PRINTERS,MADRAS-5","[""Malay"", ""English""]",General/Unindentified,Administrative/Unclear Ground,,,
KAMA SASTERA AHTI SANGKARAR (BHS TAMIL),2004-08-26,2004,P.U. (A) 298,Printed Documents,MATHAN,GOLDEN PUBLICATION,Unclear,n/a,"[""Malay"", ""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Gadis Liar Berumur 16 tahun,2004-08-26,2004,P.U. (A) 295,Printed Documents,n/a,Success Publishing Co. Ltd.,Unclear,Success Publishing Co. Ltd.,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Pemandu Pelancong Wanita,2004-08-26,2004,P.U. (A) 295,Printed Documents,n/a,East Port Publishing House,Unclear,East Port Printing Co. Ltd.,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Gadis Miang,2004-08-26,2004,P.U. (A) 295,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
Gadis Jelita,2004-08-26,2004,P.U. (A) 295,Printed Documents,n/a,Xin Cheng Publishing Co.Ltd.,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Genit Bandar,2004-08-26,2004,P.U. (A) 295,Printed Documents,n/a,Weng Li Publishing Co. Ltd.,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
Jururawat Gasang,2004-08-26,2004,P.U. (A) 295,Printed Documents,n/a,Quan Long Press Co. Ltd,Unclear,Emperor Printing Co. Ltd.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Gadis Rupawan,2004-08-26,2004,P.U. (A) 295,Printed Documents,n/a,Quan Long Press Co. Ltd,Unclear,Emperor Printing Co. Ltd.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Kisah Miang Gadis Jelita,2004-08-26,2004,P.U. (A) 295,Printed Documents,n/a,Quan Long Press Co. Ltd,Unclear,Emperor Printing Co. Ltd.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Peperangan Zaman Moden Antara Lelaki & Perempuan-Gadis Miang,2004-08-26,2004,P.U. (A) 295,Printed Documents,n/a,Hang Soon Commercial Building,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
Peperangan Zaman Moden Antara Lelaki & Perempuan-Wanita Genit,2004-08-26,2004,P.U. (A) 295,Printed Documents,n/a,Wah Kou Commercial Building,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
Peperangan Zaman Moden Antara Lelaki & Perempuan-Perlakuan Seks Yang Keterlaluan,2004-08-26,2004,P.U. (A) 295,Printed Documents,n/a,Golden Goose Commercial Building,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
Lelaki Perempuan Berpakaian Berwarna Warni,2004-08-26,2004,P.U. (A) 295,Printed Documents,n/a,Golden Goose Commercial Building,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Atas Nama Cinta / In The Name of Love( lagu),2004-08-26,2004,P.U. (A) 294,Audio/Recordings,Penyanyi -Faye Wong,PENGELUAR - SONY MUSIC ENTERTAINMENT(TAIWAN) LTD.,Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Hotline,2004-08-26,2004,P.U. (A) 295,Printed Documents,n/a,Cosmos Publishing Co. Ltd.,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Gadis Naif,2004-08-26,2004,P.U. (A) 295,Printed Documents,n/a,Success Publishing Co. Ltd.,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Gadis Genit,2004-08-26,2004,P.U. (A) 295,Printed Documents,n/a,Man Lee Publishing Co. Ltd.,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
Akasi,2004-08-26,2004,P.U. (A) 296,Printed Documents,n/a,Ngan Hon Development Co. Ltd.,Unclear,Fei Fan Printing Factory,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
One Night Stand,2004-08-26,2004,P.U. (A) 296,Printed Documents,n/a,Ngan Hon Development Co. Ltd.,Unclear,Fei Fan Printing Factory,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Bisikan Tengah Malam,2004-08-26,2004,P.U. (A) 296,Printed Documents,n/a,Cocmos Publishing Co. Ltd.,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Kekasih Yang Seksi,2004-08-26,2004,P.U. (A) 296,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
Burung Berapi,2004-08-26,2004,P.U. (A) 296,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Ichiban,2004-08-26,2004,P.U. (A) 296,Printed Documents,Lung Siu Tin,Million Solid Ltd,Unclear,Grand Harvest Paper Products Co,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Beppin,2004-08-26,2004,P.U. (A) 296,Printed Documents,n/a,Eic Publication (H.K) Ltd,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Suki Chan Sau Yu,2004-08-26,2004,P.U. (A) 296,Printed Documents,Ryuji Nishimoto,Wei Yip Publishing House,Unclear,Kam Hong Printing Co.,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
OSCAR,2004-08-26,2004,P.U. (A) 297,Printed Documents,Kazuo Koike/Guo Si Xin,FREEMAN Holdings Ltd.,Unclear,FREEMAN Holding,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Koleksi Cerita Lucah,2004-08-26,2004,P.U. (A) 297,Printed Documents,Kikuni Masahiko/Yang Feng Song,Tong Yuan Publishing House,Unclear,Fan Cai Printing Co. Ltd.,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
Ratu Judi,2004-08-26,2004,P.U. (A) 297,Printed Documents,Madeko Kato/Lin Zhi Cun,Tong Yuan Publishing House,Unclear,Fan Cai Printing Co. Ltd,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Pornografi,2004-08-26,2004,P.U. (A) 297,Printed Documents,Wu Zhao Ming,Sun Empire Creation Ltd.,Unclear,Tye Yap (Hong Kong) Co. Ltd.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Tikar-tikar Jed,2004-08-26,2004,P.U. (A) 297,Printed Documents,Wu Zhao Ming,Sun Empire Creation Ltd.,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Kama Sastera,2004-08-26,2004,P.U. (A) 298,Printed Documents,Sangkaracharier,Kudumba Nulagam,Foreign,United Bind Graphic Chennai 4,"[""Tamil""]",General/Unindentified,Administrative/Unclear Ground,,,
THE ART OF SENSUAL AROMATHERAPY,2004-10-14,2004,P.U. (A) 349,Printed Documents,NITYA LACROIX & SAKINA BOWHAY,HENRY HOLT AND COMPANY,Foreign,UNITED STATES OF AMERICA,"[""English""]",Obscene / immoral publications,Erotic/immoral content,,,
FORBIDDEN FLOWERS,2004-10-14,2004,P.U. (A) 349,Printed Documents,NANCY FRIDAY,POCKET BOOKS,Foreign,UNITED STATES OF AMERICA,"[""English""]",Obscene / immoral publications,Erotic/immoral content,,,
WOMEN ON TOP,2004-10-14,2004,P.U. (A) 349,Printed Documents,NANCY FRIDAY,POCKET BOOKS,Foreign,UNITED STATES OF AMERICA,"[""English""]",Obscene / immoral publications,Erotic/immoral content,,,
MY SECRET GARDEN,2004-10-14,2004,P.U. (A) 349,Printed Documents,NANCY FRIDAY,POCKET BOOKS A DIVISION OF SIMON SCHUSTER,Foreign,UNITED STATES OF AMERICAS,"[""English""]",Obscene / immoral publications,Erotic/immoral content,,,
THE GAY GUY'S GUIDE TO LOVE,2004-10-14,2004,P.U. (A) 349,Printed Documents,KEN HANES,CROWN TRADE PAPERBACKS,Unclear,UNITED STATES OF AMERICA,"[""English""]",Subversive ideological and political content,LGBT,,,
MY SECRET LIFE PART TWO,2004-10-14,2004,P.U. (A) 349,Printed Documents,ANONYMOUS,"BOOK-OF-THE-MONTH CLUB, NEW YORK",Foreign,UNITED STATES OF AMERICA,"[""English""]",Subversive ideological and political content,LGBT,,,
EAT ME,2004-10-14,2004,P.U. (A) 349,Printed Documents,LINDA JAIVIN,THE TEXT PUBLISHING COMPANY PTY LTD,Foreign,MCPHERSON'S PRINTING GROUP,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
THE ECSTATIC MOMENT,2004-10-14,2004,P.U. (A) 349,Printed Documents,MARIANNA BECK&JACK HAFFERKAMP,DELL PUBLISHING,Foreign,UNITED STATES OF AMERICA,"[""English""]",Obscene / immoral publications,Pornography,,,
HELEN AND DESIRE,2004-10-14,2004,P.U. (A) 349,Printed Documents,ALEXANDER TROCCHI,"BOOK-OF-THE-MONTH CLUB, NEW YORK",Foreign,UNITED STATES OF AMERICA,"[""English""]",Obscene / immoral publications,Erotic/immoral content,,,
TROPIC OF CAPRICORN,2004-10-14,2004,P.U. (A) 349,Printed Documents,HENRY MILLER,"BOOK-OF-THE-MONTH-CLUB,NEW YORK",Foreign,UNITE STATES OF AMERICA,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
BEST AMERICAN GAY FICTION,2004-10-14,2004,P.U. (A) 349,Printed Documents,BRIAN BOULDREY,"LITTLE, BROWN & COMPANY (CANADA) LIMITED",Foreign,UNITED STATES OF AMERICA,"[""English""]",Subversive ideological and political content,LGBT,,,
THE MAMMOTH BOOK OF GAY EROTICA,2004-10-14,2004,P.U. (A) 349,Printed Documents,LAWRENCE SCHIMEL,"CARROL & GRAF PUBLISHERS,INC.",Foreign,UNITED STATES OF AMERICA,"[""English""]",Subversive ideological and political content,LGBT,,,
101 NIGHTS OF GRRREAT SEX,2004-10-14,2004,P.U. (A) 349,Printed Documents,LAURA CORN,"PARK AVENUE PUBLISHER,INC.",Foreign,UNITED STATES OF AMERICA,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
THE INTIMATE COUPLE,2004-10-14,2004,P.U. (A) 349,Printed Documents,JACK LEE ROSENBERG & BEVERLY K,TURNER PUBLISHING INC.,Foreign,UNITED STATES OF AMERICA,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
THE JOY OF SENSUAL MASSAGE,2004-10-14,2004,P.U. (A) 349,Printed Documents,ROGER W.HICKS & VICTORIA DAY,WARK LOCK,Foreign,"CRONION S.A., BARCELONA","[""English""]",Obscene / immoral publications,Erotic/immoral content,,,
Maxim (edisi UK),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,Dennis Lifestyle Ltd. Company Englang,Foreign,St Ives Plymouth Ltd.,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Maxim (edisi US),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,"Dennis Publishing Inc.,",Foreign,"Dennis Publishing, Inc","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Loaded (edisi UK),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,IPC Media,Foreign,Jarrold Printing,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Fast Car (edisi UK),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,steven Kung Fu Ray,Unclear,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Boys Toys,2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,Freestyle Publications Limited,Foreign,Southern Print,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Arena,2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,"Emap Elan Network Ltd.,",Foreign,St Ives (Andover) Ltd.,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Cosmopolitan (UK) (November 2003),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,Jan Adcock,Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Hammer (edisi UK),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,Future Publishing,Foreign,Southern Print,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Stuff,2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,"Dennis Publishing Inc.,",Foreign,"Dennis Stuff, Inc","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
GQ (Julai 2003,2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,"The Conde Nast Publications Ltd,",Foreign,St Ives (Plymouth) Ltd.,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Zink (edisi USA),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,Jormic Media Group,Unclear,Jormic Media Groups,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Max Power (edisi UK),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,Emap Automotive Publications,Foreign,St. Ives (Caerphilly),"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Ralph (edisi Australia),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,ACP Men's Lifestyle,Unclear,Argyle Times Graphics,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Ice (edisi UK),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,Deeper Media Ltd.,Foreign,"TPL, Birmingham","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Bizarre (edisi UK),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,I Feel Good Ltd,Unclear,Et Heron,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Ironman (edisi Kanada),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,John Balik,Foreign,Ironman,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
The Face (edisi UK),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,Emap East,Foreign,Emap East,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Redline (Edisi UK),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,"Future Publishing Limited, 2000",Foreign,Sothernprint,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Revs (edisi UK),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,Emap Automative Ltd.,Foreign,St Ives (Andover) Ltd.,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Bikes (edisi UK),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,n/a,Unclear,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Vegas (edisi UK),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,n/a,Unclear,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Front (edisi UK),2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,Highbury-Cabal a division of Highbury House Communications pic.,Foreign,"Southernprint, Poole, Dorset.repro by Icon.Crowne House","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
FHM (For Him Magazine) Edisi UK,2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,FHM Mappin House,Unclear,Cooper Clegg Ltd; UK,"[""English""]",Obscene / immoral publications,Pornography,,,
FHM (For Him Magazine) Edisi USA,2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,FHM,Unclear,n/a,"[""English""]",Obscene / immoral publications,Pornography,,,
American Curves,2004-11-11,2004,P.U. (A) 383,Printed Documents,n/a,Robert Keneddy Canusa Products Inc.,Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
MERCY OCEAN'S LOVESTREAM,2005-04-14,2005,P.U. (A) 156,Printed Documents,SHEIKH NAZIM AL-QUBRUSI,SHEIK NAZIM C/O BAYSAL GULBOY,Unclear,SEBAT OFFSET PRINTERS KONYA/TURKEY,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
THE CROSS AND THE CRESCENT,2005-04-14,2005,P.U. (A) 156,Printed Documents,PHIL PARSHALL,"TYNDALE HOUSE PUBLISHER, INC.,WHEATON, ILLINOIS",Foreign,U.S.A.,"[""English""]",Religious doctrinal deviance,Other,,,
